City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sveti nikole,41.8696,21.9527,279.62,67,100,1.24,MK,1738433639
83,vila franca do campo,37.7167,-25.4333,291.42,99,87,1.87,PT,1738433641
84,northam,51.0333,-4.2167,280.82,82,100,1.79,GB,1738433642
85,norala,6.5225,124.6592,297.14,92,100,0.7,PH,1738433644
86,weno,7.4515,151.8468,302.12,89,100,5.14,FM,1738433645
87,bucerias,20.75,-105.3333,297.14,60,0,3.09,MX,1738433647
88,juneau,58.3019,-134.4197,261.71,91,2,3.99,US,1738433648
89,ilulissat,69.2167,-51.1,263.16,85,75,9.77,GL,1738433649
90,huarmey,-10.0681,-78.1522,297.41,74,75,3.56,PE,1738433650
91,invercargill,-46.4,168.35,285.38,79,72,1.48,NZ,1738433651
92,puerto ayora,-0.7393,-90.3518,300.12,89,68,2.24,EC,1738433652
93,lerwick,60.1545,-1.1494,279.69,88,100,13.07,GB,1738433654
94,kodiak,57.79,-152.4072,271.88,93,0,2.57,US,1738433655
95,tamanrasset,22.785,5.5228,291.1,13,0,3.09,DZ,1738433656
96,pitimbu,-7.4706,-34.8086,301.56,67,23,4.65,BR,1738433657
97,ust-nera,64.5667,143.2,235.84,100,98,0.73,RU,1738433658
98,bilsanda,28.25,79.95,289.07,45,0,3.26,IN,1738433660
99,luderitz,-26.6481,15.1594,291.55,77,51,6.97,NA,1738433661
100,ciudad guayana,8.3533,-62.6528,303.92,44,59,5.08,VE,1738433662
101,mount pearl,47.5166,-52.7813,267.29,77,100,1.79,CA,1738433663
102,gereida,11.2811,25.1414,297.35,16,13,4.06,SD,1738433664
103,hamilton,39.1834,-84.5333,277.7,58,0,3.6,US,1738433665
104,fortuna,40.5982,-124.1573,284.78,96,20,4.63,US,1738433667
105,dudinka,69.4058,86.1778,239.81,100,35,1.58,RU,1738433668
106,aasiaat,68.7098,-52.8699,257.42,94,100,8.16,GL,1738433669
107,mejit,10.2753,170.8646,299.48,79,97,8.78,MH,1738433670
108,tongliao,43.6125,122.2653,257.24,94,53,1.33,CN,1738433672
109,east wenatchee bench,47.4257,-120.2812,277.7,48,0,1.54,US,1738433673
110,priozersk,61.0393,30.1291,272.64,85,81,3.86,RU,1738433674
111,coronel suarez,-37.4547,-61.9334,307.29,23,14,3.37,AR,1738433675
112,santa cruz,-17.8,-63.1667,308.18,55,40,6.17,BO,1738433465
113,kavaratti,10.5669,72.642,300.99,76,47,2.4,IN,1738433677
114,taroa,8.7058,171.2275,299.83,82,29,8.65,MH,1738433679
115,isafjordur,66.0755,-23.124,271.61,93,47,4.78,IS,1738433680
116,stanley,54.868,-1.6985,276.21,84,0,3.09,GB,1738433681
117,eyl,7.9803,49.8164,296.25,75,77,8.94,SO,1738433682
118,tatabanya,47.5849,18.3932,277.14,57,75,0.92,HU,1738433684
119,valdivia,-39.8142,-73.2459,296.2,36,0,3.6,CL,1738433475
120,college,64.8569,-147.8028,253.19,70,100,0.0,US,1738433686
121,wynyard,-41.0,145.7167,291.03,87,77,4.02,AU,1738433687
122,levuka,50.1834,-105.4011,267.67,92,100,1.58,CA,1738433688
123,welver,51.6167,7.9667,274.83,82,1,2.42,DE,1738433689
124,akrehamn,59.2667,5.1833,276.29,75,75,6.17,NO,1738433691
125,kayenta,36.7278,-110.2546,279.89,37,100,3.45,US,1738433692
126,bilibino,68.0546,166.4372,240.39,98,100,0.85,RU,1738433693
127,murghob,38.1702,73.9667,242.6,80,23,1.41,TJ,1738433694
128,shetpe,44.1667,52.1167,274.76,69,4,4.16,KZ,1738433695
129,kailua-kona,19.6406,-155.9956,295.7,82,8,1.89,US,1738433696
130,lebu,-37.6167,-73.65,290.24,66,0,7.88,CL,1738433698
131,usinsk,65.9939,57.5281,254.67,94,38,4.71,RU,1738433699
132,bandar lampung,-5.4254,105.258,296.43,95,90,2.11,ID,1738433700
133,avarua,-21.2078,-159.775,299.18,94,92,0.51,CK,1738433702
134,qarauyl,48.9451,79.255,261.45,79,100,9.01,KZ,1738433703
135,cuajinicuilapa,16.4667,-98.4167,307.13,31,1,3.7,MX,1738433704
136,utrik,11.2278,169.8474,299.58,68,49,8.36,MH,1738433705
137,georgetown,5.4112,100.3354,298.12,64,20,0.0,MY,1738433707
138,east london,-33.0153,27.9116,296.29,76,31,4.18,ZA,1738433708
139,venancio aires,-29.6064,-52.1919,307.13,36,16,1.4,BR,1738433709
140,chibougamau,49.9168,-74.3659,251.94,65,100,3.6,CA,1738433710
141,longyearbyen,78.2186,15.6401,274.06,69,40,7.2,SJ,1738433711
142,afaahiti,-17.75,-149.2833,299.57,78,99,6.45,PF,1738433713
143,zima,53.9202,102.0442,241.47,100,23,0.29,RU,1738433714
144,markovo,57.3206,107.0881,241.36,100,96,0.99,RU,1738433715
145,rio rancho,35.2334,-106.6645,281.98,31,0,3.09,US,1738433475
146,sogndal,61.2283,7.1003,270.36,68,100,1.54,NO,1738433717
147,labytnangi,66.6572,66.4183,252.13,96,100,5.72,RU,1738433718
148,emerald,-23.5333,148.1667,296.12,100,100,7.42,AU,1738433720
149,minas de marcona,-15.2119,-75.1103,296.54,55,97,5.16,PE,1738433721
150,makum,27.5,95.45,287.49,77,47,0.63,IN,1738433722
151,anapa,44.8908,37.3239,275.34,100,100,1.0,RU,1738433723
152,grand falls-windsor,48.9332,-55.6649,267.32,61,89,2.24,CA,1738433725
153,hasaki,35.7333,140.8333,281.01,78,100,6.8,JP,1738433726
154,atraulia,26.3333,82.95,289.53,49,0,2.49,IN,1738433727
155,ribeira grande,38.5167,-28.7,290.37,59,20,5.66,PT,1738433728
156,qaqortoq,60.7167,-46.0333,261.01,79,37,0.39,GL,1738433729
157,tsiombe,-25.3,45.4833,297.09,81,39,2.91,MG,1738433730
158,sal rei,16.1833,-22.9167,296.26,56,20,10.8,CV,1738433732
159,villa gesell,-37.2639,-56.973,296.44,71,63,6.59,AR,1738433733
160,ergli,56.8975,25.6367,273.19,88,100,3.57,LV,1738433734
161,banda aceh,5.5577,95.3222,297.5,82,87,2.75,ID,1738433735
162,vadso,70.0744,29.7487,273.24,86,100,8.23,NO,1738433736
163,shiprock,36.7855,-108.687,280.8,31,99,3.53,US,1738433738
164,arcen,51.4767,6.1806,275.99,87,1,3.01,NL,1738433739
165,santa elena de uairen,4.6167,-61.1333,298.83,49,78,2.08,VE,1738433740
166,santa sylvina,-27.8326,-61.1375,309.86,22,0,2.32,AR,1738433741
167,muar,2.0442,102.5689,297.9,86,99,3.13,MY,1738433742
168,pizarro,4.9533,-77.366,298.83,91,100,3.68,CO,1738433744
169,tazovsky,67.4667,78.7,245.38,92,88,4.15,RU,1738433746
170,san lorenzo de esmeraldas,1.2883,-78.8369,300.96,77,86,3.63,EC,1738433747
171,hadibu,12.65,54.0333,295.41,68,61,6.01,YE,1738433748
172,basco,20.4487,121.9702,296.92,93,54,7.02,PH,1738433749
173,obo,5.3998,26.4869,299.6,24,8,1.15,CF,1738433750
174,rio gallegos,-51.6226,-69.2181,292.53,29,100,5.94,AR,1738433616
175,tual,-5.6667,132.75,300.61,81,100,10.54,ID,1738433753
176,alice springs,-23.7,133.8833,299.9,19,0,4.12,AU,1738433754
177,punta del este,-34.9667,-54.95,300.21,78,20,6.17,UY,1738433755
178,caconda,-13.7333,15.0667,289.84,88,99,2.27,AO,1738433756
179,tocopilla,-22.092,-70.1979,296.73,71,6,3.09,CL,1738433758
180,west island,-12.1568,96.8225,301.14,83,100,5.14,CC,1738433759
181,hilo,19.7297,-155.09,295.99,91,14,1.34,US,1738433486
182,ciudad lazaro cardenas,17.9583,-102.2,302.52,51,0,2.54,MX,1738433761
183,pisco,-13.7,-76.2167,296.18,78,0,5.14,PE,1738433762
184,mitu,1.1983,-70.1733,306.4,43,95,1.51,CO,1738433764
185,la libertad,-2.2333,-80.9,301.96,70,20,2.57,EC,1738433765
186,ilanskiy,56.2358,96.065,243.51,100,56,0.9,RU,1738433766
187,san rafael,-34.6177,-68.3301,306.71,25,0,3.91,AR,1738433627
188,kamloops,50.6665,-120.3192,270.14,75,99,0.89,CA,1738433538
189,haiku-pauwela,20.9219,-156.3051,294.37,95,100,2.24,US,1738433770
190,yarkovo,57.4028,67.0786,269.38,99,98,1.36,RU,1738433771
191,qionghu,28.843,112.3522,277.48,94,100,4.69,CN,1738433772
192,eydhafushi,5.1033,73.0708,300.89,79,68,5.65,MV,1738433773
193,pujehun,7.3581,-11.7208,304.01,49,99,2.85,SL,1738433775
194,muisne,0.6,-80.0333,300.87,74,73,5.08,EC,1738433776
195,hermanus,-34.4187,19.2345,294.71,81,15,3.38,ZA,1738433777
196,nouadhibou,20.931,-17.0347,298.14,33,0,5.66,MR,1738433778
197,zdvinsk,54.7021,78.661,258.93,95,100,4.35,RU,1738433780
198,constantia,44.1833,28.65,279.65,81,99,5.21,RO,1738433781
199,chernyshevskiy,63.0128,112.4714,243.93,98,100,1.03,RU,1738433782
200,tweed heads,-28.1817,153.547,296.17,78,75,4.12,AU,1738433784
201,khabarovsk vtoroy,48.4431,135.1356,253.29,92,99,2.0,RU,1738433785
202,mbekenyera,-10.0,38.9833,295.3,98,100,2.01,TZ,1738433786
203,port saint john's,-31.6229,29.5448,295.88,90,100,3.55,ZA,1738433787
204,qamdo,31.1667,97.2333,269.77,52,1,2.78,CN,1738433788
205,tazacorte,28.629,-17.9293,293.23,74,40,7.2,ES,1738433790
206,pangkalanbuun,-2.6833,111.6167,296.5,86,100,0.92,ID,1738433791
207,kill devil hills,36.0307,-75.676,283.16,73,0,9.26,US,1738433792
208,la passe,45.5549,-0.8967,278.93,75,2,3.69,FR,1738433793
209,moissala,8.3404,17.7663,301.48,16,83,2.19,TD,1738433794
210,swakopmund,-22.6833,14.5333,292.06,82,46,7.36,NA,1738433796
211,karatas,36.582,35.3701,287.99,61,17,1.42,TR,1738433797
212,colonia,50.9333,6.95,275.35,85,0,3.09,DE,1738433798
213,cidreira,-30.1811,-50.2056,298.81,70,19,3.97,BR,1738433799
214,ad dabbah,18.05,30.95,296.3,24,17,4.05,SD,1738433800
215,urangan,-25.3,152.9,298.86,71,100,9.58,AU,1738433802
216,vernon,50.2581,-119.2691,272.89,62,11,1.03,CA,1738433803
217,kidal,18.4411,1.4078,297.17,12,88,2.83,ML,1738433804
218,cadale,2.7603,46.3222,297.69,80,71,9.92,SO,1738433806
219,ixtapa,20.7,-105.2,296.72,60,0,3.09,MX,1738433807
220,oltinko'l,40.8011,72.1634,273.95,62,1,2.91,UZ,1738433809
221,kingscliff,-28.2667,153.5667,296.04,78,75,4.12,AU,1738433810
222,mugia,43.1041,-9.2179,286.43,95,100,1.64,ES,1738433811
223,huanggang,23.677,116.9996,289.67,82,85,3.13,CN,1738433813
224,praya,14.9215,-23.5087,296.45,56,20,10.29,CV,1738433816
225,nelson,-41.2833,173.2833,290.53,90,84,0.45,NZ,1738433817
226,nadym,65.5333,72.5167,247.45,98,27,3.81,RU,1738433820
227,kenai,60.5544,-151.2583,259.9,82,0,3.09,US,1738433601
228,la sierpe,21.7717,-79.2684,306.54,36,23,3.15,CU,1738433822
229,gamba,-2.65,10.0,299.47,84,100,3.0,GA,1738433823
230,kindu,-2.95,25.95,297.84,69,72,1.45,CD,1738433824
231,hami,42.8,93.45,268.92,53,97,1.71,CN,1738433826
232,monrovia,6.3005,-10.7969,300.71,79,95,4.93,LR,1738433827
233,kruisfontein,-34.0033,24.7314,292.43,84,4,2.46,ZA,1738433828
234,bouznika,33.7894,-7.1597,287.01,71,40,2.57,MA,1738433829
235,bulolo,-7.2,146.65,295.99,97,100,0.44,PG,1738433830
236,fauske,67.2588,15.3918,264.59,89,34,3.19,NO,1738433832
237,labrador city,52.9463,-66.9114,250.1,64,40,5.14,CA,1738433833
238,dunedin,-45.8742,170.5036,285.26,97,97,3.13,NZ,1738433834
239,iskateley,67.6803,53.1512,253.59,99,50,4.4,RU,1738433835
240,buenaventura,3.8801,-77.0312,301.21,83,40,2.57,CO,1738433836
241,nova sintra,14.8667,-24.7167,295.87,66,0,10.98,CV,1738433837
242,zhangye,38.9342,100.4517,265.22,57,74,2.46,CN,1738433839
243,nevada,39.2502,-116.7512,275.38,73,100,2.9,US,1738433840
244,revda,56.801,59.9303,272.71,95,100,3.28,RU,1738433841
245,nyandoma,61.669,40.1991,273.22,98,100,3.33,RU,1738433842
246,saurimo,-9.6608,20.3916,292.19,95,87,1.6,AO,1738433843
247,carnarvon,-24.8667,113.6333,302.4,58,22,12.37,AU,1738433845
248,atafu village,-8.5421,-172.5159,300.77,78,43,6.59,TK,1738433846
249,kishtwar,33.3167,75.7667,277.73,61,38,2.49,IN,1738433847
250,gidam,18.9833,81.4,294.08,41,46,0.58,IN,1738433848
251,lorengau,-2.0226,147.2712,300.49,81,89,2.59,PG,1738433849
252,summerside,46.3959,-63.7876,262.22,67,99,6.17,CA,1738433850
253,mogocha,53.7333,119.7667,252.74,99,100,1.0,RU,1738433852
254,talnakh,69.4865,88.3972,243.63,96,25,1.64,RU,1738433853
255,severo-yeniseyskiy,60.3725,93.0408,240.09,100,41,1.45,RU,1738433854
256,pochinki,54.6988,44.8668,274.39,98,100,5.89,RU,1738433855
257,nuuk,64.1835,-51.7216,265.49,93,75,4.12,GL,1738433857
258,egilsstadir,65.2653,-14.3948,281.1,49,40,12.35,IS,1738433858
259,manokwari,-0.8667,134.0833,298.06,89,100,2.15,ID,1738433859
260,saint-pie,45.5001,-72.8991,256.97,54,24,1.54,CA,1738433860
261,camana,-16.6228,-72.7111,296.81,80,87,3.64,PE,1738433861
262,jiwani,25.05,61.7417,292.98,27,0,3.45,PK,1738433863
263,kalispell,48.1958,-114.3129,277.25,70,75,6.69,US,1738432973
264,charters towers,-20.1,146.2667,293.86,92,100,10.74,AU,1738433865
265,cold lake,54.4502,-110.2017,256.12,78,100,3.09,CA,1738433866
266,karratha,-20.7377,116.8463,303.92,73,28,6.27,AU,1738433867
267,nar'yan-mar,67.6713,53.087,253.74,99,54,4.46,RU,1738433869
268,miranda,3.2499,-76.2281,300.56,66,70,1.87,CO,1738433870
269,yelan'-koleno,51.1523,41.2306,276.35,79,100,5.23,RU,1738433872
270,muynoq,43.7683,59.0214,274.5,77,76,3.65,UZ,1738433874
271,fort bragg,35.139,-79.006,291.94,43,0,4.12,US,1738433875
272,manismata,-2.4667,111.0333,296.08,88,100,1.1,ID,1738433876
273,kununurra,-15.7667,128.7333,301.14,89,92,1.03,AU,1738433877
274,motueka,-41.1333,173.0167,290.98,82,84,1.46,NZ,1738433878
275,sulak,43.2734,47.5146,278.89,84,72,5.73,RU,1738433880
276,tefe,-3.3542,-64.7114,301.21,89,40,2.57,BR,1738433881
277,rongelap,11.1635,166.8941,299.48,74,51,8.83,MH,1738433882
278,azangaro,-14.9167,-70.2167,287.09,49,99,2.08,PE,1738433883
279,anori,-3.7728,-61.6442,303.28,66,84,1.76,BR,1738433884
280,cascais,38.6979,-9.4215,288.43,82,75,4.47,PT,1738433886
281,praia,14.9215,-23.5087,296.45,56,20,10.29,CV,1738433816
282,laguna,38.421,-121.4238,284.38,92,100,6.17,US,1738433888
283,lata,40.1629,-8.3327,283.25,97,91,1.56,PT,1738433889
284,koryazhma,61.3143,47.1691,273.81,99,100,1.26,RU,1738433890
285,las palmas,28.4204,-14.0131,290.59,63,20,6.17,ES,1738433892
286,puerto cabezas,14.0351,-83.3888,303.13,74,40,6.17,NI,1738433893
287,ceara mirim,-5.6344,-35.4256,304.53,55,20,6.17,BR,1738433894
288,olyokminsk,60.3736,120.4264,251.09,99,100,1.29,RU,1738433895
289,namsos,64.4662,11.4957,271.1,93,100,2.06,NO,1738433897
290,kamensk-ural'skiy,56.4185,61.9329,273.11,94,100,2.94,RU,1738433898
291,rio grande,-32.035,-52.0986,299.47,61,2,4.34,BR,1738433899
292,howrah,22.5892,88.3103,297.15,88,40,0.0,IN,1738433900
293,ulladulla,-35.35,150.4667,290.57,95,9,1.52,AU,1738433902
294,tuy hoa,13.0833,109.3,291.02,95,68,1.08,VN,1738433903
295,les cayes,18.2,-73.75,301.06,70,62,6.67,HT,1738433904
296,puerto aysen,-45.4,-72.7,289.54,61,59,2.46,CL,1738433905
297,queenstown,-31.8976,26.8753,291.74,83,2,5.98,ZA,1738433907
298,abuja,9.0574,7.4898,303.82,14,47,1.33,NG,1738433908
299,callao,-12.0667,-77.15,299.31,65,20,4.63,PE,1738433909
300,yanchep,-31.55,115.6833,293.49,87,8,2.56,AU,1738433910
301,alpena,45.0617,-83.4327,265.22,71,100,0.89,US,1738433911
302,sokoni,-6.4333,39.55,300.27,79,28,5.55,TZ,1738433913
303,katima mulilo,-17.5,24.2667,297.36,69,99,4.0,NA,1738433914
304,geraldton,-28.7667,114.6,295.38,83,0,3.6,AU,1738433915
305,warman,52.3168,-106.5679,261.1,84,100,4.63,CA,1738433916
306,ellenbrook,-31.7827,115.9666,296.81,79,6,1.0,AU,1738433918
307,balaipungut,1.05,101.2833,296.97,95,100,1.07,ID,1738433919
308,tevriz,57.509,72.4042,259.01,98,94,1.56,RU,1738433920
309,south hedland,-20.4089,118.5983,303.11,84,73,2.57,AU,1738433922
310,saanen,46.4896,7.2596,275.04,95,85,1.86,CH,1738433923
